,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
65,'fanth',-9627.23,0.725,27.87,1.3831,3.07E-05,-4224.7,-11.2576,5.00E-05,10,700,4,-0.105,,,
66,'cumm',-12057.48,0.54,26.33,1.2773,2.58E-05,-9704.6,-9.0747,5.00E-05,10,700,4,-0.105,,,
67,'grun',-9613.2,0.73,27.84,1.3831,3.07E-05,-4224.7,-11.2576,5.00E-05,10,648,4,-0.0972,,,
68,'ged',-12319.43,0.515,25.8,1.3077,2.36E-05,-9307.4,-9.799,4.80E-05,10,770,4,-0.1155,,,
69,'spr4',-11019.62,0.443,19.905,1.1603,-2.43E-05,-7706.6,-8.9742,4.90E-05,10,1200,4,-0.18,,,
70,'spr7',-11065.63,0.448,19.775,1.1679,-2.49E-05,-7607.3,-9.1553,4.90E-05,10,1200,4,-0.18,,,
71,'fspr',-9835.51,0.551,20.391,1.2578,-2.22E-05,-1664,-11.3484,4.90E-05,10,1200,4,-0.18,,,
72,'mcar',-4781.24,0.21,10.59,0.6678,-1.26E-05,-1167.1,-6.44,5.00E-05,10,525,4,-0.07875,,,
73,'fcar',-4413.2,0.255,10.69,0.6748,-1.01E-05,-715.8,-6.5545,5.00E-05,10,525,4,-0.07875,,,
74,'deer',-18347.65,1.65,55.74,3.1644,-2.79E-05,-5039.1,-26.721,5.00E-05,10,630,4,-0.0945,,,
75,'mu',-5984.18,0.292,14.083,0.7564,-1.98E-05,-2170,-6.9792,5.96E-05,10,490,4,-0.0735,,,
76,'cel',-5842.42,0.29,13.957,0.7412,-1.87E-05,-2368.8,-6.6169,5.96E-05,10,700,4,-0.105,,,
77,'fcel',-5477.43,0.329,14.07,0.7563,-1.91E-05,-1586.1,-6.9287,5.96E-05,10,700,4,-0.105,,,
78,'pa',-5946.34,0.276,13.211,0.803,-3.16E-05,217,-8.151,7.74E-05,10,550,4,-0.0825,,,
79,'ma',-6241.23,0.267,12.964,0.7444,-1.68E-05,-2074.4,-6.7832,4.87E-05,10,1300,4,-0.195,,,
80,'phl',-6219.16,0.328,14.964,0.7703,-3.69E-05,-2328.9,-6.5316,5.79E-05,10,513,4,-0.07695,,,
81,'ann',-5151.67,0.418,15.432,0.8157,-3.49E-05,19.8,-7.4667,5.79E-05,10,513,4,-0.07695,,,
82,'mnbi',-5462.84,0.433,15.264,0.8099,-5.92E-05,-1514.4,-6.9987,5.79E-05,10,513,4,-0.07695,,,
83,'east',-6338.17,0.318,14.738,0.7855,-3.80E-05,-2130.3,-6.8937,5.79E-05,10,513,4,-0.07695,,,
84,'naph',-6172.82,0.318,14.45,0.7735,-4.02E-05,-2597.9,-6.5126,5.79E-05,10,513,4,-0.07695,,,
85,'clin',-8912.41,0.4305,21.09,1.1618,1.01E-05,-7657.3,-9.6909,3.98E-05,10,870,4,-0.1305,,,
86,'ames',-9034.44,0.41,20.52,1.177,9.04E-06,-7458.7,-10.053,3.98E-05,10,870,4,-0.1305,,,
87,'afchl',-8727.38,0.428,21.66,1.1466,1.12E-05,-7855.9,-9.3288,3.98E-05,10,870,4,-0.1305,,,
88,'daph',-7134.85,0.565,21.34,1.2374,1.36E-05,-3743,-11.25,3.98E-05,10,870,4,-0.1305,,,
89,'mnchl',-7666.53,0.595,22.59,1.2278,-2.70E-05,-6299.8,-10.4694,3.98E-05,10,870,4,-0.1305,,,
90,'sud',-8626.16,0.404,20.3,1.4361,-4.87E-05,-2748.5,-13.764,3.98E-05,10,870,4,-0.1305,,,
91,'fsud',-7903.9,0.462,20.4,1.4663,-4.74E-05,-1182.8,-14.388,3.98E-05,10,870,4,-0.1305,,,
92,'prl',-5640.64,0.2394,12.81,0.7845,-4.29E-05,1251,-8.4959,7.50E-05,10,525,4,-0.07875,,,
93,'ta',-5897.1,0.26,13.625,0.6222,0,-6385.5,-3.9163,3.70E-05,10,480,4,-0.072,,,
94,'fta',-4802.92,0.352,14.225,0.5797,3.95E-05,-6459.3,-3.0881,3.70E-05,10,480,4,-0.072,,,
95,'tats',-5987.99,0.259,13.51,0.5495,3.63E-05,-8606.6,-2.5153,3.70E-05,10,480,4,-0.072,,,
96,'kao',-4122.18,0.2037,9.934,0.4367,-3.43E-05,-4055.9,-2.6991,5.10E-05,10,645,4,-0.09675,,,
