,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
94,di,1.0,7.0,1.0,5.0,1.0,1.0,2.0,10.0,6.0,0.0,-3202.76,0.1427,6.619,,,,,,
95,0.3145,4.1e-08,-2745.9,-2.0201,5.7e-05,10.0,1223.0,4.0,-0.18345,0.0,,,,,,,,,,
96,hed,2.0,7.0,1.0,4.0,1.0,1.0,2.0,10.0,6.0,0.0,-2844.16,0.1742,6.795,,,,,,
97,0.3402,8.12e-07,-1047.8,-2.6467,5.7e-05,10.0,1200.0,4.0,-0.18,0.0,,,,,,,,,,
98,jd,1.0,8.0,1.0,3.0,1.0,1.0,2.0,10.0,6.0,0.0,-3027.85,0.1335,6.04,,,,,,
99,0.3011,1.0143e-05,-2239.3,-2.0551,4.66e-05,10.0,1284.0,4.0,-0.1926,0.0,,,,,,,,,,
100,acm,1.0,8.0,1.0,4.0,1.0,1.0,2.0,10.0,6.0,0.0,-2586.65,0.1706,6.459,,,,,,
101,0.3071,1.6758e-05,-1685.5,-2.1258,4.66e-05,10.0,1060.0,4.0,-0.159,0.0,,,,,,,,,,
102,cats,1.0,7.0,1.0,3.0,2.0,1.0,1.0,10.0,6.0,0.0,-3307.03,0.138,6.356,,,,,,
103,0.3476,-6.974e-06,-1781.6,-2.7575,4.43e-05,10.0,1140.0,4.0,-0.171,0.0,,,,,,,,,,
104,rhod,1.0,6.0,1.0,1.0,1.0,10.0,3.0,0.0,-1321.75,0.1005,3.494,,,,,,,,
105,0.1384,4.088e-06,-1936.0,-0.5389,5.08e-05,10.0,1250.0,4.0,-0.1875,0.0,,,,,,,,,,
106,pxmn,1.0,6.0,1.0,1.0,1.0,10.0,3.0,0.0,-1322.53,0.0993,3.472,,,,,,,,
107,0.1384,4.088e-06,-1936.0,-0.5389,5.08e-05,10.0,1250.0,4.0,-0.1875,0.0,,,,,,,,,,
108,wo,1.0,7.0,1.0,1.0,1.0,10.0,3.0,0.0,-1634.06,0.0825,3.993,,,,,,,,
109,0.1593,0.0,-967.3,-1.0754,4.6e-05,10.0,795.0,4.0,-0.11925,0.0,,,,,,,,,,
110,pswo,1.0,7.0,1.0,1.0,1.0,10.0,3.0,0.0,-1627.69,0.0882,4.008,,,,,,,,
111,0.1578,0.0,-967.3,-1.0754,5.39e-05,10.0,1050.0,4.0,-0.1575,0.0,,,,,,,,,,
112,tr,2.0,7.0,2.0,5.0,5.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-12310.38,0.55,27.27,,,,
113,1.2602,3.83e-06,-11455.0,-8.2376,5.34e-05,10.0,762.0,4.0,-0.1143,0.0,,,,,,,,,,
114,fact,5.0,7.0,2.0,4.0,5.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-10511.24,0.705,28.28,,,,
115,1.29,2.9991e-05,-8447.5,-8.947,5.34e-05,10.0,760.0,4.0,-0.114,0.0,,,,,,,,,,
116,ts,2.0,7.0,2.0,5.0,3.0,3.0,4.0,1.0,6.0,10.0,24.0,11.0,2.0,0.0,-12541.2,0.545,26.8,,
117,1.2448,2.4348e-05,-11965.0,-8.1121,5.34e-05,10.0,760.0,4.0,-0.114,0.0,,,,,,,,,,
118,parg,4.0,8.0,1.0,7.0,2.0,5.0,4.0,3.0,3.0,1.0,6.0,10.0,24.0,11.0,2.0,0.0,-12720.65,0.601,27.19
119,1.2802,2.2997e-05,-12359.5,-8.0658,5.34e-05,10.0,912.0,4.0,-0.1368,0.0,,,,,,,,,,
120,gl,2.0,8.0,2.0,5.0,3.0,3.0,2.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-11969.47,0.535,26.05,,
121,1.7175,-0.00012107,7075.0,-19.272,5.3e-05,10.0,883.0,4.0,-0.13245,0.0,,,,,,,,,,
122,fgl,3.0,8.0,2.0,3.0,2.0,4.0,3.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-10889.74,0.624,26.59,,
123,1.7629,-0.000118992,9423.7,-20.2071,5.3e-05,10.0,890.0,4.0,-0.1335,0.0,,,,,,,,,,
124,rieb,2.0,8.0,2.0,4.0,5.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-10035.24,0.691,27.49,,,,
125,1.7469,-0.000113572,9370.3,-19.4687,5.3e-05,10.0,890.0,4.0,-0.1335,0.0,,,,,,,,,,
126,anth,2.0,5.0,7.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-12069.2,0.536,26.54,,,,,,
127,1.2773,2.5825e-05,-9704.6,-9.0747,5e-05,10.0,700.0,4.0,-0.105,0.0,,,,,,,,,,
128,fanth,7.0,4.0,7.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-9627.23,0.725,27.87,,,,,,
129,1.3831,3.0669e-05,-4224.7,-11.2576,5e-05,10.0,700.0,4.0,-0.105,0.0,,,,,,,,,,
130,cumm,2.0,5.0,7.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-12057.48,0.54,26.33,,,,,,
131,1.2773,2.5825e-05,-9704.6,-9.0747,5e-05,10.0,700.0,4.0,-0.105,0.0,,,,,,,,,,
132,grun,7.0,4.0,7.0,1.0,8.0,10.0,24.0,11.0,2.0,0.0,-9613.2,0.73,27.84,,,,,,
133,1.3831,3.0669e-05,-4224.7,-11.2576,5e-05,10.0,648.0,4.0,-0.0972,0.0,,,,,,,,,,
134,ged,5.0,5.0,5.0,3.0,4.0,1.0,6.0,10.0,24.0,11.0,2.0,0.0,-12319.43,0.515,25.8,,,,
135,1.3077,2.3642e-05,-9307.4,-9.799,4.8e-05,10.0,770.0,4.0,-0.1155,0.0,,,,,,,,,,
136,spr4,4.0,5.0,4.0,3.0,8.0,1.0,2.0,10.0,20.0,0.0,-11019.62,0.443,19.905,,,,,,
137,1.1603,-2.4324e-05,-7706.6,-8.9742,4.9e-05,10.0,1200.0,4.0,-0.18,0.0,,,,,,,,,,
138,spr7,4.0,5.0,3.5,3.0,9.0,1.0,1.5,10.0,20.0,0.0,-11065.63,0.448,19.775,,,,,,
139,1.1679,-2.487e-05,-7607.3,-9.1553,4.9e-05,10.0,1200.0,4.0,-0.18,0.0,,,,,,,,,,
140,fspr,4.0,4.0,3.5,3.0,9.0,1.0,1.5,10.0,20.0,0.0,-9835.51,0.551,20.391,,,,,,
141,1.2578,-2.2171e-05,-1664.0,-11.3484,4.9e-05,10.0,1200.0,4.0,-0.18,0.0,,,,,,,,,,
142,mcar,1.0,5.0,1.0,3.0,2.0,1.0,2.0,10.0,10.0,11.0,4.0,0.0,-4781.24,0.21,10.59,,,,
143,0.6678,-1.2559e-05,-1167.1,-6.44,5e-05,10.0,525.0,4.0,-0.07875,0.0,,,,,,,,,,
144,fcar,1.0,4.0,1.0,3.0,2.0,1.0,2.0,10.0,10.0,11.0,4.0,0.0,-4413.2,0.255,10.69,,,,
145,0.6748,-1.0092e-05,-715.8,-6.5545,5e-05,10.0,525.0,4.0,-0.07875,0.0,,,,,,,,,,
