,rownum,mineral_name,min_sym,SiO2,TiO2,Al2O3,FeO,MgO,MnO,CaO,Na2O,K2O,O,H2O,CO2
147,148.0,,'Ni',0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
148,149.0,graphite,'gph',0,0,0,0,0,0,0.0,0.0,0.0,-2.0,0.0,1.0
149,150.0,diamond,'diam',0,0,0,0,0,0,0.0,0.0,0.0,-2.0,0.0,1.0
150,151.0,,'H2O',0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
151,152.0,,'CO2',0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
152,153.0,,'CO',0,0,0,0,0,0,0.0,0.0,0.0,-1.0,0.0,1.0
153,154.0,,'CH4',0,0,0,0,0,0,0.0,0.0,0.0,-4.0,2.0,1.0
154,155.0,,'O2',0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
155,156.0,,'H2',0,0,0,0,0,0,0.0,0.0,0.0,-1.0,1.0,0.0
156,157.0,,'syvL',0,0,0,0,0,0,0.0,0.0,0.5,-0.5,0.0,0.0
157,158.0,,'hltL',0,0,0,0,0,0,0.0,0.5,0.0,-0.5,0.0,0.0
158,159.0,,'foL',1,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
159,160.0,,'faL',1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
160,161.0,,'silL',1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,162.0,,'anL',2,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
162,163.0,,'h2oL',0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
163,164.0,,'enL',2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
164,165.0,,'kspL',3,0,0.5,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
165,166.0,,'qL',1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
166,167.0,,'diL',2,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
167,168.0,,'abL',3,0,0.5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0
168,,,,,,,,,,,,,,,
169,191.0,,ctdo,1,mctd(23),-1,cor(123),1,hem(124),,,,,,
170,,,,,,,,,,,,,,,
171,201.0,,obi',2/3,phl (80),1/3,ann(81),,,,,,,,
172,202.0,,tbi',1,phl (80),-1,br(135),1,ru(120),,,,,,
173,203.0,,fbi',1,east(83),-1/2,cor(123),1/2,hem(124),,,,,,
174,204.0,,mnbi,,,,,,,,,,,,
175,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,
178,221.0,,oilm,1,ilm,,,,,,,,,,
179,222.0,,dilm,1,ilm,,,,,,,,,,
